TraceId	TraceStart	TraceEnd	TraceDuration	ClientId	UserId	DialogEventType	InputString	ResponseText	ErrorMessage	ErrorLogCount	TriggeredDomain	TriggeredIntent	LUConfidence	InputType	ClientType	ClientVersion	FormFactor	Latencies	LogCount	QueryFlags	Sizes
01ead02534a5497e996cc90e733cd010	2018-11-07T23:53:50Z	2018-11-07T23:53:50Z	0.1469809	44ea00010002d27b030064b404005ef2	msa:383712dc9a59c397	DirectAction		Hello, I am Durandal. What can I help you with?		0	reflection	greet	1	Programmatic	WP_8.1	18.0-2864	Portable	{"DialogCore":136.0,"DialogTriggers":20.0,"E2EDialog":147.0,"UserProfileRetrieve":1.0,"AverageCacheRead":40.5,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":13.0}	10	None	{"DialogInputPayload":442,"DialogOutputPayload":3921}
01fcc224cb5e408eb02f42c7a58645b3	2018-11-08T00:55:17Z	2018-11-08T00:55:17Z	0.230541	44ea00010002d27b030064b404005ef2	msa:383712dc9a59c397	DirectAction		Hello, I am Durandal. What can I help you with?		0	reflection	greet	1	Programmatic	WP_8.1	18.0-2864	Portable	{"DialogCore":26.0,"DialogTriggers":0.0,"E2EDialog":230.0,"UserProfileRetrieve":0.0,"AverageCacheRead":90.5,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":15.0}	10	None	{"DialogInputPayload":444,"DialogOutputPayload":3939}
03ee50bc52304348a9b38e0ccb31bdce	2018-11-08T00:53:51Z	2018-11-08T00:54:02Z	11.39116	44ea00010002d27b030064b404005ef2	msa:383712dc9a59c397	Query			SR service connection was rejected. HTTP status message: HTTP/1.1 401 Unauthorized	5			0	Spoken	WP_8.1	18.0-2864	Portable	{"DialogCore":1.0,"DialogTriggers":0.0,"E2EDialog":2279.0,"E2EClient":2521.0,"ClientGenerateRequestToken":26.0,"SessionFetch":1.0,"ClientStartAudioReadThread":2.0,"ClientStartSpeechReco":0.0,"AverageCacheRead":43.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":0.0}	22	None	{"DialogInputPayload":865,"ClientRequest":896,"ClientResponse":87,"DialogOutputPayload":87}
049d2993357e4a1aba33ceb20b1ff511	2018-11-08T00:55:50Z	2018-11-08T00:56:10Z	20.23258	44ea00010002d27b030064b404005ef2	msa:383712dc9a59c397	DialogAction		I have 17 plugins installed	Websocket read error	8	reflection	list_plugins	1	Programmatic	WP_8.1	18.0-2864	Portable	{"DialogAsyncAudio":0.0,"DialogCore":330.0,"DialogTriggers":1.0,"DialogTTS":1490.0,"E2EDialog":2295.0,"E2EClient":2461.0,"ClientGenerateRequestToken":21.0,"LUCall":7.0,"SessionFetch":2.0,"ClientStartAudioReadThread":2.0,"ClientStartSpeechReco":0.0,"UserProfileRetrieve":1.0,"AverageCacheRead":891.258057,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":16.0}	156	None	{"ClientRequest":543,"ClientResponse":8674,"DialogInputPayload":434,"DialogOutputPayload":8674,"ReadWebCache-d1d7ae3b6bba44aaae76f4ad5e3b9411":40076,"ReadWebCache-baa2880cbeb84da881eadb5c9b5eb393":32701,"ReadWebCache-6ec5cff8f60344ea8d7384aca61daa6f":56870,"ReadWebCache-c0a7faffc5cf4db284bb86528189f5a2":51845,"ReadWebCache-0ade57fe1f2146fc9da902eb5dd541d6":25509,"ReadWebCache-a25ee738bc3244f2a77fb17520ac7274":206349,"ReadWebCache-fdbcdb19b262488c8be50e33c924e1b7":11957,"ReadWebCache-9159ff0b53304eda8ead7800684ae955":25560,"ReadWebCache-bd833ebfbd894ae58d29cd5e3b9f08c5":35308,"ReadWebCache-33e42fcd1d014a2d84e3798ce6686775":4581,"ReadWebCache-af4edab7c5854457a0a187f939a5be64":12629,"SessionFetch":1349,"LURequest":289,"LUResponse":400}
072ad669a1c141bcae10e83e3035a7cd	2018-11-08T00:58:13Z	2018-11-08T00:58:13Z	0.1436178			Unknown				0			0	Unknown			Unknown	{"E2EClient":112.0,"ClientGenerateRequestToken":28.0,"AverageCacheRead":0.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":0.0}	2	None	{}
0bd2dbf59674421fb252dc32696f547e	2018-11-08T00:58:24Z	2018-11-08T00:58:25Z	1.233576	44ea00010002d27b030064b404005ef2	msa:383712dc9a59c397	Query	What is your name	You can call me Durandal.		0	side_speech	yourname	0.99917	Typed	WP_8.1	18.0-2864	Portable	{"DialogCore":155.0,"DialogTriggers":0.0,"E2EDialog":384.0,"E2EClient":655.0,"ClientGenerateRequestToken":38.0,"LUCall":5.0,"SessionFetch":1.0,"UserProfileRetrieve":1.0,"AverageCacheRead":221.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":1.0}	62	None	{"ClientRequest":563,"ClientResponse":1870,"DialogInputPayload":532,"SessionFetch":303,"LURequest":345,"LUResponse":258,"DialogOutputPayload":1870}
11e132008e2a446c8c22e6cee67803b7	2018-11-07T23:53:04Z	2018-11-07T23:53:04Z	0.0390038	44ea00010002d27b030064b404005ef2	msa:383712dc9a59c397	DirectAction		Hello, I am Durandal. What can I help you with?		0	reflection	greet	1	Programmatic	WP_8.1	18.0-2864	Portable	{"DialogCore":30.0,"DialogTriggers":1.0,"E2EDialog":38.0,"UserProfileRetrieve":1.0,"AverageCacheRead":54.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":13.0}	10	None	{"DialogInputPayload":444,"DialogOutputPayload":3942}
134a9ac1cd8a481ca2db2d8d2933276d	2018-11-07T23:36:18Z	2018-11-08T00:57:05Z	4846.816			Unknown			Non-success response while refreshing SR token	32			0	Unknown			Unknown	{}	154	None	{}
14d9a45fa025480cbe681f2765a406c4	2018-11-07T23:52:39Z	2018-11-07T23:52:39Z	0.2154599	5852000100022267030055880400ddd2	msa:383712dc9a59c397	DirectAction		Hello, I am Durandal. What can I help you with?		0	reflection	greet	1	Programmatic	WP_8.1	16.0-2789	Portable	{"DialogCore":196.0,"DialogTriggers":75.0,"E2EDialog":237.0,"UserProfileRetrieve":1.0,"AverageCacheRead":106.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":20.0}	10	None	{"DialogInputPayload":1099,"DialogOutputPayload":4955}
154c998b02004e96b5ea7750d6e72e3b	2018-11-08T03:55:56Z	2018-11-08T03:56:00Z	4.353098			Unknown				0			0	Unknown			Unknown	{"E2EClient":191.0,"ClientGenerateRequestToken":0.0,"AverageCacheRead":0.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":0.0}	3	None	{}
